policy,total_profit,total_moved,n_nights,moved_per_1000_nights
avg_rate,1113503.8261410634,1502,204,7362.745098039215
model,993128.9058313933,34,204,166.66666666666666
fixed,898073.1934988889,70,204,343.1372549019608
no_overbook,792662.6573881672,0,204,0.0
