policy,total_profit,total_moved,n_nights,moved_per_1000_nights
avg_rate,4031031.5004758565,6521,329,19820.668693009116
model,3767921.538574613,27,329,82.06686930091185
fixed,3436207.652477777,33,329,100.30395136778115
no_overbook,2945320.7990347007,0,329,0.0
